City,Date,Temperature,Temp_Min,Temp_Max,Pressure,Sea_Level,Humidity,Description,Wind Speed,Country,Lon,Lat
Moscou,2023-12-08 21:00:00,258.85,258.85,259.69,1038,1038,92,Clouds,4.33,RU,37.6156,55.7522
Moscou,2023-12-09 00:00:00,259.22,259.22,259.95,1038,1038,91,Clouds,4.27,RU,37.6156,55.7522
Moscou,2023-12-09 03:00:00,259.8,259.8,260.27,1037,1037,91,Clouds,4.55,RU,37.6156,55.7522
Moscou,2023-12-09 06:00:00,260.77,260.77,260.77,1036,1036,92,Clouds,4.64,RU,37.6156,55.7522
Moscou,2023-12-09 09:00:00,261.77,261.77,261.77,1035,1035,94,Snow,4.73,RU,37.6156,55.7522
Moscou,2023-12-09 12:00:00,262.44,262.44,262.44,1034,1034,94,Snow,4.86,RU,37.6156,55.7522
Moscou,2023-12-09 15:00:00,262.19,262.19,262.19,1034,1034,94,Snow,4.85,RU,37.6156,55.7522
Moscou,2023-12-09 18:00:00,261.91,261.91,261.91,1033,1033,94,Snow,4.55,RU,37.6156,55.7522
Moscou,2023-12-09 21:00:00,261.96,261.96,261.96,1032,1032,94,Snow,4.59,RU,37.6156,55.7522
Moscou,2023-12-10 00:00:00,262.28,262.28,262.28,1032,1032,94,Snow,4.68,RU,37.6156,55.7522
Moscou,2023-12-10 03:00:00,262.52,262.52,262.52,1031,1031,94,Snow,4.79,RU,37.6156,55.7522
Moscou,2023-12-10 06:00:00,262.93,262.93,262.93,1031,1031,94,Snow,4.98,RU,37.6156,55.7522
Moscou,2023-12-10 09:00:00,264.05,264.05,264.05,1031,1031,94,Snow,5.2,RU,37.6156,55.7522
Moscou,2023-12-10 12:00:00,264.59,264.59,264.59,1030,1030,94,Snow,4.96,RU,37.6156,55.7522
Moscou,2023-12-10 15:00:00,264.42,264.42,264.42,1030,1030,94,Snow,5.33,RU,37.6156,55.7522
Moscou,2023-12-10 18:00:00,264.45,264.45,264.45,1031,1031,94,Snow,5.42,RU,37.6156,55.7522
Moscou,2023-12-10 21:00:00,264.17,264.17,264.17,1031,1031,94,Snow,5.07,RU,37.6156,55.7522
Moscou,2023-12-11 00:00:00,263.66,263.66,263.66,1031,1031,94,Snow,4.93,RU,37.6156,55.7522
Moscou,2023-12-11 03:00:00,263.14,263.14,263.14,1031,1031,94,Snow,4.85,RU,37.6156,55.7522
Moscou,2023-12-11 06:00:00,262.78,262.78,262.78,1031,1031,94,Snow,4.77,RU,37.6156,55.7522
Moscou,2023-12-11 09:00:00,264.02,264.02,264.02,1031,1031,93,Snow,5.19,RU,37.6156,55.7522
Moscou,2023-12-11 12:00:00,264.62,264.62,264.62,1030,1030,93,Snow,5.34,RU,37.6156,55.7522
Moscou,2023-12-11 15:00:00,263.78,263.78,263.78,1031,1031,93,Snow,5.68,RU,37.6156,55.7522
Moscou,2023-12-11 18:00:00,263.94,263.94,263.94,1030,1030,94,Snow,5.81,RU,37.6156,55.7522
Moscou,2023-12-11 21:00:00,264.03,264.03,264.03,1029,1029,94,Snow,6.08,RU,37.6156,55.7522
Moscou,2023-12-12 00:00:00,264.28,264.28,264.28,1028,1028,94,Snow,6.37,RU,37.6156,55.7522
Moscou,2023-12-12 03:00:00,264.45,264.45,264.45,1027,1027,94,Snow,6.39,RU,37.6156,55.7522
Moscou,2023-12-12 06:00:00,264.93,264.93,264.93,1026,1026,94,Snow,6.68,RU,37.6156,55.7522
Moscou,2023-12-12 09:00:00,265.66,265.66,265.66,1025,1025,94,Snow,6.82,RU,37.6156,55.7522
Moscou,2023-12-12 12:00:00,266.2,266.2,266.2,1024,1024,94,Snow,6.29,RU,37.6156,55.7522
Moscou,2023-12-12 15:00:00,266.34,266.34,266.34,1024,1024,94,Snow,6.29,RU,37.6156,55.7522
Moscou,2023-12-12 18:00:00,266.27,266.27,266.27,1023,1023,94,Snow,6.47,RU,37.6156,55.7522
Moscou,2023-12-12 21:00:00,266.11,266.11,266.11,1023,1023,94,Snow,6.63,RU,37.6156,55.7522
Moscou,2023-12-13 00:00:00,265.9,265.9,265.9,1023,1023,94,Snow,6.56,RU,37.6156,55.7522
Moscou,2023-12-13 03:00:00,265.67,265.67,265.67,1022,1022,93,Snow,6.43,RU,37.6156,55.7522
Moscou,2023-12-13 06:00:00,265.6,265.6,265.6,1023,1023,94,Snow,6.42,RU,37.6156,55.7522
Moscou,2023-12-13 09:00:00,266.2,266.2,266.2,1022,1022,94,Snow,6.41,RU,37.6156,55.7522
Moscou,2023-12-13 12:00:00,266.78,266.78,266.78,1022,1022,95,Snow,5.98,RU,37.6156,55.7522
Moscou,2023-12-13 15:00:00,266.56,266.56,266.56,1023,1023,94,Snow,5.7,RU,37.6156,55.7522
Moscou,2023-12-13 18:00:00,266.51,266.51,266.51,1024,1024,94,Snow,5.42,RU,37.6156,55.7522
Moscou,2023-12-13 21:00:00,266.96,266.96,266.96,1020,1020,95,Snow,4.16,RU,37.6156,55.7522
Moscou,2023-12-14 00:00:00,267.24,267.24,267.24,1021,1021,95,Snow,3.95,RU,37.6156,55.7522
Moscou,2023-12-14 03:00:00,265.43,265.43,265.43,1020,1020,95,Snow,4.53,RU,37.6156,55.7522
Moscou,2023-12-14 06:00:00,265.06,265.06,265.06,1021,1021,95,Snow,4.4,RU,37.6156,55.7522
Moscou,2023-12-14 09:00:00,266.2,266.2,266.2,1020,1020,95,Snow,4.72,RU,37.6156,55.7522
Moscou,2023-12-14 12:00:00,267.03,267.03,267.03,1019,1019,94,Snow,4.71,RU,37.6156,55.7522
Moscou,2023-12-14 15:00:00,267.09,267.09,267.09,1018,1018,95,Snow,5.12,RU,37.6156,55.7522
Moscou,2023-12-14 18:00:00,267.51,267.51,267.51,1017,1017,95,Snow,5.7,RU,37.6156,55.7522
Moscou,2023-12-14 21:00:00,268.37,268.37,268.37,1015,1015,95,Snow,6.56,RU,37.6156,55.7522
Moscou,2023-12-15 00:00:00,269.82,269.82,269.82,1012,1012,96,Snow,7.23,RU,37.6156,55.7522
Moscou,2023-12-15 03:00:00,270.11,270.11,270.11,1010,1010,96,Snow,7.08,RU,37.6156,55.7522
Moscou,2023-12-15 03:00:00,270.11,270.11,270.11,1010,1010,96,Snow,7.08,RU,37.6156,55.7522
